選舉類型,選區,候選人,推薦政黨
鄉鎮市民代表,彰化縣田尾鄉第3選舉區,吳俊樑,無
鄉鎮市民代表,屏東縣車城鄉第1選舉區,白登科,無
鄉鎮市民代表,宜蘭縣大同鄉第1選舉區,林志維,無
鄉鎮市民代表,花蓮縣花蓮市第2選舉區,楊哲灃,中國國民黨
鄉鎮市民代表,花蓮縣玉里鎮第2選舉區,周鑾英,無
鄉鎮市民代表,花蓮縣壽豐鄉第3選舉區,林瑞國,無
鄉鎮市民代表,花蓮縣豐濱鄉第1選舉區,古方新,無
直轄市山地原住民區長,臺中市和平區,吳萬福,無
直轄市山地原住民區民代表,新北市烏來區第3選舉區,黃清波,無
村里長,臺北市松山區莊敬里,周政諭,中國國民黨
村里長,臺北市松山區東榮里,鄭玉梅,無
村里長,臺北市松山區三民里,謝翠鈴,中國國民黨
村里長,臺北市松山區新東里,華國雄,中國國民黨
村里長,臺北市松山區東昌里,陳志明,中國國民黨
村里長,臺北市松山區東勢里,王叔珍,無
村里長,臺北市松山區中華里,游吉興,中國國民黨
村里長,臺北市松山區慈祐里,李祖民,無
村里長,臺北市松山區自強里,李台華,中國國民黨
村里長,臺北市松山區吉祥里,陳永昌,中國國民黨
村里長,臺北市松山區中正里,洪樸陽,無
村里長,臺北市松山區美仁里,林志創,中國國民黨
村里長,臺北市松山區吉仁里,李全長,無
村里長,臺北市松山區復源里,温福義,中國國民黨
村里長,臺北市松山區復勢里,徐麗雲,中國國民黨
村里長,臺北市信義區敦厚里,方聰杰,中國國民黨
村里長,臺北市信義區廣居里,楊玉堂,中國國民黨
村里長,臺北市信義區六藝里,丁禾溱,中國國民黨
村里長,臺北市信義區永吉里,陳永昌,中國國民黨
村里長,臺北市信義區四維里,劉耀平,中國國民黨
村里長,臺北市信義區松隆里,黃俊龍,中國國民黨
村里長,臺北市信義區大仁里,蔡桂清,無
村里長,臺北市信義區三犁里,翁信利,無
村里長,臺北市信義區景聯里,洪福周,中國國民黨
村里長,臺北市信義區景勤里,王雷凱,中國國民黨
村里長,臺北市信義區黎平里,楊介舟,中國國民黨
村里長,臺北市大安區德安里,蔡銘宗,中國國民黨
村里長,臺北市大安區和安里,翁德東,無
村里長,臺北市大安區昌隆里,王志剛,中國國民黨
村里長,臺北市大安區誠安里,李有福,無
村里長,臺北市大安區光武里,韓修和,無
村里長,臺北市大安區龍坡里,黃世詮,中國國民黨
村里長,臺北市大安區龍泉里,龎維良,無
村里長,臺北市大安區龍安里,洪秋甲,中國國民黨
村里長,臺北市大安區福住里,李欣芠,無
村里長,臺北市大安區龍生里,沈鳳雲,中國國民黨
村里長,臺北市大安區住安里,歐秀珠,中國國民黨
村里長,臺北市大安區臨江里,劉勇雄,無
村里長,臺北市大安區群賢里,翁鴻源,無
村里長,臺北市大安區群英里,石忠勝,中國國民黨
村里長,臺北市大安區虎嘯里,詹仲琪,中國國民黨
村里長,臺北市大安區臥龍里,邱奕承,無
村里長,臺北市大安區龍淵里,汪吉秋,中國國民黨
村里長,臺北市大安區龍門里,黃絹家,中國國民黨
村里長,臺北市大安區黎孝里,方丁輝,中國國民黨
村里長,臺北市大安區建倫里,林正達,中國國民黨
村里長,臺北市大安區華聲里,陳金花,無
村里長,臺北市中山區康樂里,王金富,無
村里長,臺北市中山區聚盛里,舒贑臺,中國國民黨
村里長,臺北市中山區圓山里,葉建輝,中國國民黨
村里長,臺北市中山區成功里,李清水,中國國民黨
村里長,臺北市中山區大佳里,莊欽億,民主進步黨
村里長,臺北市中山區新喜里,吳昇陽,民主進步黨
村里長,臺北市中山區新福里,童勝輝,無
村里長,臺北市中山區江寧里,徐信洲,無
村里長,臺北市中山區中原里,羅崇華,無
村里長,臺北市中山區興亞里,林芳薇,中國國民黨
村里長,臺北市中山區朱崙里,高銘鴻,中國國民黨
村里長,臺北市中正區水源里,林全義,中國國民黨
村里長,臺北市中正區富水里,陳麗真,中國國民黨
村里長,臺北市中正區頂東里,王曜樹,中國國民黨
村里長,臺北市中正區螢圃里,陳木松,中國國民黨
村里長,臺北市中正區永功里,陳宏明,中國國民黨
村里長,臺北市中正區廈安里,涂光宇,中國國民黨
村里長,臺北市中正區光復里,王麗美,無
村里長,臺北市中正區幸市里,林禎吉,中國國民黨
村里長,臺北市大同區建明里,王振宇,無
村里長,臺北市大同區朝陽里,呂國維,無
村里長,臺北市大同區光能里,陳靜筠,民主進步黨
村里長,臺北市大同區大有里,許美智,民主進步黨
村里長,臺北市大同區國順里,陳穎慧,民主進步黨
村里長,臺北市大同區揚雅里,吳振明,無
村里長,臺北市萬華區新起里,陳鴻祥,無
村里長,臺北市萬華區菜園里,蔡蕙而,無
村里長,臺北市萬華區福音里,蔡岳樺,中國國民黨
村里長,臺北市萬華區仁德里,許淑惠,民主進步黨
村里長,臺北市萬華區雙園里,許惠城,無
村里長,臺北市萬華區新忠里,邱文龍,中國國民黨
村里長,臺北市萬華區新和里,邱惠雯,無
村里長,臺北市萬華區柳鄉里,蔡和益,無
村里長,臺北市萬華區新安里,郭正中,中國國民黨
村里長,臺北市萬華區孝德里,李明芬,無
村里長,臺北市萬華區和德里,洪天化,無
村里長,臺北市萬華區全德里,趙素美,無
村里長,臺北市萬華區保德里,楊美女,無
村里長,臺北市萬華區榮德里,陳欣漢,無
村里長,臺北市萬華區凌霄里,游秋蓮,中國國民黨
村里長,臺北市文山區景東里,高鳳謙,中國國民黨
村里長,臺北市文山區萬年里,邱秋芳,無
村里長,臺北市文山區萬和里,吳祚榮,中國國民黨
村里長,臺北市文山區萬盛里,徐福進,中國國民黨
村里長,臺北市文山區興光里,洪正平,中國國民黨
村里長,臺北市文山區興家里,劉宗勲,中國國民黨
村里長,臺北市文山區興得里,曾瑞城,中國國民黨
村里長,臺北市文山區興業里,凌錦成,中國國民黨
村里長,臺北市文山區興昌里,吳融昊,中國國民黨
村里長,臺北市文山區華興里,陳峙穎,無
村里長,臺北市文山區明義里,仇世屏,中國國民黨
村里長,臺北市文山區木新里,鄭明通,中國國民黨
村里長,臺北市文山區樟林里,陳文乾,中國國民黨
村里長,臺北市文山區樟腳里,高林玉嬌,中國國民黨
村里長,臺北市文山區忠順里,曾寧旖,中國國民黨
村里長,臺北市文山區樟文里,林淑珠,中國國民黨
村里長,臺北市文山區興邦里,張朝雄,中國國民黨
村里長,臺北市文山區樟樹里,陳再炯,中國國民黨
村里長,臺北市南港區南港里,李志錦,中國國民黨
村里長,臺北市南港區中南里,詹坤隆,無
村里長,臺北市南港區新光里,龔睿堉,中國國民黨
村里長,臺北市南港區東明里,曾漢祺,中國國民黨
村里長,臺北市南港區合成里,巫永仁,無
村里長,臺北市南港區萬福里,林建華,中國國民黨
村里長,臺北市南港區鴻福里,劉明康,中國國民黨
村里長,臺北市南港區百福里,李雯馨,無
村里長,臺北市南港區舊莊里,張瑞芳,無
村里長,臺北市內湖區西安里,李國榮,中國國民黨
村里長,臺北市內湖區內湖里,許昌華,無
村里長,臺北市內湖區湖濱里,陳尤雪,中國國民黨
村里長,臺北市內湖區紫星里,謝佳惠,無
村里長,臺北市內湖區金瑞里,羅世甫,無
村里長,臺北市內湖區紫雲里,夏亦芳,中國國民黨
村里長,臺北市內湖區葫洲里,曾宏昌,中國國民黨
村里長,臺北市內湖區紫陽里,謝源德,中國國民黨
村里長,臺北市內湖區瑞光里,黃崇賢,中國國民黨
村里長,臺北市內湖區樂康里,張碧玉,無
村里長,臺北市內湖區週美里,丘麗玲,無
村里長,臺北市內湖區石潭里,廖煒國,無
村里長,臺北市內湖區秀湖里,謝明毅,中國國民黨
村里長,臺北市內湖區金湖里,邱金波,中國國民黨
村里長,臺北市內湖區蘆洲里,陳明霖,無
村里長,臺北市內湖區麗山里,許明全,無
村里長,臺北市內湖區寶湖里,邱顯松,無
村里長,臺北市士林區福林里,江美珠,無
村里長,臺北市士林區百齡里,翁淑穎,民主進步黨
村里長,臺北市士林區福順里,林家卉,民主進步黨
村里長,臺北市士林區葫蘆里,許振禮,無
村里長,臺北市士林區富洲里,陳惠民,無
村里長,臺北市士林區岩山里,林美雯,人民民主黨
村里長,臺北市士林區名山里,薛群秀,中國國民黨
村里長,臺北市士林區德行里,張僡美,無
村里長,臺北市士林區三玉里,羅志傑,中國國民黨
村里長,臺北市士林區蘭興里,林文龍,無
村里長,臺北市士林區天壽里,陳伯同,無
村里長,臺北市士林區天山里,陳永鴻,無
村里長,臺北市士林區天玉里,潘錦雄,無
村里長,臺北市士林區天母里,李陳菜蓮,無
村里長,臺北市士林區永福里,林國柱,無
村里長,臺北市士林區臨溪里,郭肇富,無
村里長,臺北市北投區石牌里,洪美惠,無
村里長,臺北市北投區振華里,郭崇儀,中國國民黨
村里長,臺北市北投區永明里,何麗玲,中國國民黨
村里長,臺北市北投區東華里,袁大祥,中國國民黨
村里長,臺北市北投區吉慶里,黃勝宗,無
村里長,臺北市北投區立農里,潘建榮,無
村里長,臺北市北投區八仙里,黃永清,無
村里長,臺北市北投區中央里,陳國樑,無
村里長,臺北市北投區中和里,黃景煌,中國國民黨
村里長,臺北市北投區泉源里,陳志成,中國國民黨
村里長,臺北市北投區湖山里,李秋霞,中國國民黨
村里長,臺北市北投區湖田里,曹昌正,無
村里長,新北市板橋區留侯里,黃承亮,無
村里長,新北市板橋區流芳里,陳建雄,中國國民黨
村里長,新北市板橋區赤松里,林文傑,無
村里長,新北市板橋區黃石里,吳聰榮,中國國民黨
村里長,新北市板橋區中正里,林煌益,無
村里長,新北市板橋區自強里,張雪嬰,無
村里長,新北市板橋區光華里,周秀美,無
村里長,新北市板橋區漢生里,蕭水文,無
村里長,新北市板橋區公舘里,陳黃逽,無
村里長,新北市板橋區忠誠里,陳玉蘭,中國國民黨
村里長,新北市板橋區江翠里,蔡明輝,無
村里長,新北市板橋區純翠里,褚仁德,無
村里長,新北市板橋區仁翠里,陳金泉,無
村里長,新北市板橋區吉翠里,陳清玉,無
村里長,新北市板橋區明翠里,沈德發,無
村里長,新北市板橋區松翠里,林阿萬,無
村里長,新北市板橋區龍翠里,張振發,無
村里長,新北市板橋區嵐翠里,林彥綱,無
村里長,新北市板橋區文翠里,王永源,無
村里長,新北市板橋區福翠里,陳嘉生,無
村里長,新北市板橋區埔墘里,曾啟瑜,無
村里長,新北市板橋區九如里,李建重,無
村里長,新北市板橋區玉光里,曾國旃,無
村里長,新北市板橋區光仁里,謝昌佳,無
村里長,新北市板橋區埤墘里,蘇琮貴,無
村里長,新北市板橋區永安里,高導民,無
村里長,新北市板橋區雙玉里,王聰震,無
村里長,新北市板橋區廣新里,黃明和,無
村里長,新北市板橋區深丘里,陳廉誠,無
村里長,新北市板橋區長安里,陳聰文,無
村里長,新北市板橋區福祿里,呂春蘭,中國國民黨
村里長,新北市板橋區景星里,林志成,無
村里長,新北市板橋區福星里,朱泰霖,無
村里長,新北市板橋區鄉雲里,謝秀娥,無
村里長,新北市板橋區廣德里,周建和,無
村里長,新北市板橋區大豐里,張錦堂,無
村里長,新北市板橋區重慶里,許鳳霞,無
村里長,新北市板橋區華興里,劉憲鐘,無
村里長,新北市板橋區華貴里,林榮彩,無
村里長,新北市板橋區華東里,王典芳,無
村里長,新北市板橋區華中里,黃榮煌,民主進步黨
村里長,新北市板橋區僑中里,柯秀月,無
村里長,新北市板橋區聚安里,蔡世川,無
村里長,新北市板橋區溪洲里,王山崎,無
村里長,新北市板橋區溪北里,黃炳南,無
村里長,新北市板橋區香雅里,謝淑姿,無
村里長,新北市板橋區文德里,賴錦賜,無
村里長,新北市板橋區富貴里,詹汝,無
村里長,新北市板橋區堂春里,劉世標,無
村里長,新北市板橋區成和里,鄧月茶,無
村里長,新北市板橋區松柏里,王宏志,無
村里長,新北市板橋區居仁里,郭新芳,無
村里長,新北市板橋區莊敬里,戴清芳,無
村里長,新北市板橋區東安里,陳聰騰,無
村里長,新北市板橋區五權里,吳童,無
村里長,新北市板橋區大觀里,何明山,無
村里長,新北市板橋區歡園里,王國龍,無
村里長,新北市三重區大有里,鐘林美珠,無
村里長,新北市三重區二重里,吳淑貞,無
村里長,新北市三重區頂崁里,郭文屏,無
村里長,新北市三重區德厚里,李燕清,無
村里長,新北市三重區福祉里,陳天森,無
村里長,新北市三重區福民里,林麗枝,民主進步黨
村里長,新北市三重區重明里,蔡淑玲,無
村里長,新北市三重區光田里,吳勝文,無
村里長,新北市三重區光陽里,江燕輝,無
村里長,新北市三重區田中里,詹貴洪,無
村里長,新北市三重區光明里,李政達,無
村里長,新北市三重區光正里,陳志賢,無
村里長,新北市三重區同安里,陳首清,無
村里長,新北市三重區同慶里,張絮淳,無
村里長,新北市三重區菜寮里,梁進益,無
村里長,新北市三重區吉利里,陳金星,無
村里長,新北市三重區平和里,黃進行,無
村里長,新北市三重區光榮里,劉進明,無
村里長,新北市三重區光輝里,吳松春,中國國民黨
村里長,新北市三重區福星里,紀信助,無
村里長,新北市三重區福利里,劉佩華,無
村里長,新北市三重區清和里,楊乾坤,無
村里長,新北市三重區永興里,李金壖,無
村里長,新北市三重區大園里,李宗霖,無
村里長,新北市三重區國隆里,傅孫昇,無
村里長,新北市三重區正德里,賴樹林,無
村里長,新北市三重區正義里,黃烈山,無
村里長,新北市三重區正安里,高素梅,無
村里長,新北市三重區自強里,王鴻賓,無
村里長,新北市三重區錦通里,林煒財,無
村里長,新北市三重區長安里,李宗烈,無
村里長,新北市三重區長江里,唐明聰,無
村里長,新北市三重區長泰里,陳文禮,無
村里長,新北市三重區長福里,林壽,無
村里長,新北市三重區萬壽里,袁翠蘭,無
村里長,新北市三重區龍濱里,曾添發,無
村里長,新北市三重區秀江里,陳貴美,無
村里長,新北市三重區福安里,施正通,無
村里長,新北市三重區信安里,江政洋,無
村里長,新北市三重區安慶里,林金兩,無
村里長,新北市三重區幸福里,郭冬賜,無
村里長,新北市三重區順德里,李鴻志,無
村里長,新北市三重區承德里,吳政權,無
村里長,新北市三重區永福里,呂宜興,無
村里長,新北市三重區五福里,李福山,無
村里長,新北市三重區慈福里,邱茂泉,無
村里長,新北市三重區慈惠里,蔡清德,無
村里長,新北市三重區富貴里,胡天龍,無
村里長,新北市三重區富福里,陳惟國,無
村里長,新北市三重區福德里,吳叁寶,無
村里長,新北市三重區永發里,陳綉娜,無
村里長,新北市三重區永順里,許嘉陣,無
村里長,新北市三重區永豐里,黃冬茂,民主進步黨
村里長,新北市三重區福樂里,蘇修賢,民主進步黨
村里長,新北市三重區仁華里,洪國林,無
村里長,新北市三重區五順里,洪文珍,無
村里長,新北市中和區平河里,黃湘雲,無
村里長,新北市中和區信和里,許泰銘,無
村里長,新北市中和區仁和里,林達,無
村里長,新北市中和區建和里,江曉佩,中國國民黨
村里長,新北市中和區枋寮里,羅仕滄,中國國民黨
村里長,新北市中和區漳和里,劉建盛,無
村里長,新北市中和區福真里,蔡昭發,無
村里長,新北市中和區福善里,陳愷松,中國國民黨
村里長,新北市中和區福和里,簡健翔,無
村里長,新北市中和區佳和里,陳得福,中國國民黨
村里長,新北市中和區安樂里,呂福來,中國國民黨
村里長,新北市中和區中安里,李謙國,中國國民黨
村里長,新北市中和區泰安里,葉玉伴,中國國民黨
村里長,新北市中和區新南里,申文博,中國國民黨
村里長,新北市中和區南山里,紀忠和,中國國民黨
村里長,新北市中和區秀山里,林秋宇,中國國民黨
村里長,新北市中和區秀成里,吳金松,中國國民黨
村里長,新北市中和區秀福里,林江西,無
村里長,新北市中和區秀景里,李淙河,中國國民黨
村里長,新北市中和區秀明里,施義男,中國國民黨
村里長,新北市中和區秀峰里,周存炎,中國國民黨
村里長,新北市中和區秀仁里,陳慶章,中國國民黨
村里長,新北市中和區頂南里,謝森儒,中國國民黨
村里長,新北市中和區華新里,楊錦煌,無
村里長,新北市中和區華南里,林平發,中國國民黨
村里長,新北市中和區景南里,胡宇辰,中國國民黨
村里長,新北市中和區橫路里,呂星輝,中國國民黨
村里長,新北市中和區內南里,曾金禧,中國國民黨
村里長,新北市中和區外南里,連顯達,中國國民黨
村里長,新北市中和區復興里,尤敏玉,無
村里長,新北市中和區和興里,蔡璧如,無
村里長,新北市中和區景福里,王坤茂,中國國民黨
村里長,新北市中和區景安里,游任是,中國國民黨
村里長,新北市中和區景文里,林東銘,中國國民黨
村里長,新北市中和區錦和里,林進明,無
村里長,新北市中和區灰磘里,林鑫宏,無
村里長,新北市中和區積穗里,陳致廷,無
村里長,新北市中和區文元里,吳欣怡,無
村里長,新北市中和區嘉新里,林后福,無
村里長,新北市中和區民安里,張金鳳,無
村里長,新北市中和區瑞穗里,陳美華,中國國民黨
村里長,新北市中和區明穗里,何韋翰,無
村里長,新北市中和區德穗里,詹文定,中國國民黨
村里長,新北市中和區民生里,朱朝鶯,無
村里長,新北市中和區國光里,蘇俊琦,無
村里長,新北市中和區德行里,陳靜宜,中國國民黨
村里長,新北市中和區景本里,張林秀麗,無
村里長,新北市中和區中興里,游志鴻,中國國民黨
村里長,新北市中和區吉興里,陳成功,無
村里長,新北市中和區碧河里,賴清華,無
村里長,新北市中和區錦中里,范榮豐,無
村里長,新北市中和區員富里,蔡宗霖,無
村里長,新北市中和區嘉慶里,吳永華,無
村里長,新北市中和區正行里,陳盈君,無
村里長,新北市永和區文化里,陳水上,中國國民黨
村里長,新北市永和區豫溪里,廖亦芳,無
村里長,新北市永和區仁愛里,李天助,中國國民黨
村里長,新北市永和區民治里,陳以樂,中國國民黨
村里長,新北市永和區永成里,周國良,中國國民黨
村里長,新北市永和區秀林里,,中國國民黨
村里長,新北市永和區保安里,許承煬,中國國民黨
村里長,新北市永和區民權里,鄭文昌,中國國民黨
村里長,新北市永和區勵行里,洪敏,中國國民黨
村里長,新北市永和區秀朗里,沈賜是,中國國民黨
村里長,新北市永和區秀成里,黃昰瑋,中國國民黨
村里長,新北市永和區雙和里,黃珠珪,中國國民黨
村里長,新北市永和區水源里,柯義和,中國國民黨
村里長,新北市永和區協和里,陳昱庭,中國國民黨
村里長,新北市永和區頂溪里,蔡美娟,中國國民黨
村里長,新北市永和區潭墘里,阮汪淑華,中國國民黨
村里長,新北市永和區潭安里,游富喬,中國國民黨
村里長,新北市永和區復興里,葉斯修,中國國民黨
村里長,新北市永和區智光里,趙珮蓁,中國國民黨
村里長,新北市永和區新生里,姜銀英,中國國民黨
村里長,新北市永和區大同里,陳健蒼,中國國民黨
村里長,新北市永和區前溪里,方金源,中國國民黨
村里長,新北市永和區和平里,柳舒雲,中國國民黨
村里長,新北市永和區下溪里,林敏德,中國國民黨
村里長,新北市永和區秀和里,孫和連,中國國民黨
村里長,新北市永和區河濱里,孫黃秋月,中國國民黨
村里長,新北市永和區秀得里,高欽,中國國民黨
村里長,新北市永和區上林里,林維楠,中國國民黨
村里長,新北市永和區永興里,陳錦松,中國國民黨
村里長,新北市永和區後溪里,莊銘淵,民主進步黨
村里長,新北市永和區民富里,林士翔,中國國民黨
村里長,新北市永和區秀元里,饒金妹,中國國民黨
村里長,新北市永和區保順里,林葉成,中國國民黨
村里長,新北市新莊區國泰里,陳金乾,無
村里長,新北市新莊區全安里,蔡明祥,無
村里長,新北市新莊區福基里,王曜輝,無
村里長,新北市新莊區忠孝里,林長川,無
村里長,新北市新莊區恆安里,蔡陳恒菊,無
村里長,新北市新莊區文衡里,王慶順,無
村里長,新北市新莊區中美里,陳明卿,民主進步黨
村里長,新北市新莊區中和里,林孟鴻,無
村里長,新北市新莊區西盛里,陳金田,無
村里長,新北市新莊區榮和里,黃希義,中國國民黨
村里長,新北市新莊區瓊林里,吳佳擇,無
村里長,新北市新莊區文德里,陳圓光,無
村里長,新北市新莊區中誠里,沈丁子,無
村里長,新北市新莊區思源里,沈明耀,民主進步黨
村里長,新北市新莊區立人里,吳碧麗,無
村里長,新北市新莊區南港里,林朝基,無
村里長,新北市新莊區仁愛里,吳俊聲,無
村里長,新北市新莊區信義里,吳秋桂,無
村里長,新北市新莊區立功里,陳易澤,無
村里長,新北市新莊區自強里,柯蔡阿菜,無
村里長,新北市新莊區丹鳳里,林永傑,無
村里長,新北市新莊區光明里,廖榮裕,無
村里長,新北市新莊區自立里,吳東杉,無
村里長,新北市新莊區雙鳳里,潘素娥,無
村里長,新北市新莊區自信里,林秋雲,無
村里長,新北市新莊區中華里,陳敬波,無
村里長,新北市新莊區中隆里,吳清標,無
村里長,新北市新莊區中信里,林阿元,無
村里長,新北市新莊區四維里,吳岳澤,無
村里長,新北市新莊區建福里,劉金祥,無
村里長,新北市新莊區中宏里,洪少欽,無
村里長,新北市新莊區全泰里,陳哲郎,無
村里長,新北市新莊區立基里,張中貞,無
村里長,新北市新莊區文聖里,蔣添榮,中國國民黨
村里長,新北市新莊區福營里,廖皇源,無
村里長,新北市新莊區後德里,劉臺鳳,無
村里長,新北市新莊區成德里,王義寬,無
村里長,新北市新莊區昌信里,柯明啓,無
村里長,新北市新莊區立廷里,許任銘,中國國民黨
村里長,新北市新莊區富民里,陳清泉,無
村里長,新北市新莊區龍福里,陳立維,無
村里長,新北市新莊區祥鳳里,賴俊良,無
村里長,新北市新莊區民全里,張文興,無
村里長,新北市新莊區光和里,林光燦,無
村里長,新北市新店區國豐里,顏榮宏,中國國民黨
村里長,新北市新店區大同里,俞賢明,無
村里長,新北市新店區江陵里,葉金珠,中國國民黨
村里長,新北市新店區信義里,林木己,中國國民黨
村里長,新北市新店區大鵬里,喬天鼎,中國國民黨
村里長,新北市新店區頂城里,王明籐,無
村里長,新北市新店區下城里,廖瓊瑤,無
村里長,新北市新店區永安里,林清一,無
村里長,新北市新店區公崙里,游炎嵐,中國國民黨
村里長,新北市新店區德安里,丁萬貴,無
村里長,新北市新店區塗潭里,邱秀雄,無
村里長,新北市新店區美潭里,簡明峰,無
村里長,新北市新店區青潭里,林岑郁,無
村里長,新北市新店區張南里,林國榮,中國國民黨
村里長,新北市新店區文中里,劉閔禮,中國國民黨
村里長,新北市新店區廣明里,張添財,無
村里長,新北市新店區新生里,黃頌之,中國國民黨
村里長,新北市新店區五峯里,陳淑美,中國國民黨
村里長,新北市新店區中華里,邱湘羚,無
村里長,新北市新店區百忍里,陳建利,中國國民黨
村里長,新北市新店區百和里,陳先鳴,中國國民黨
村里長,新北市新店區福德里,張元亨,中國國民黨
村里長,新北市新店區福民里,盧浩賢,中國國民黨
村里長,新北市新店區中山里,潘威志,無
村里長,新北市新店區和平里,閻培樞,中國國民黨
村里長,新北市新店區安和里,劉淑美,中國國民黨
村里長,新北市新店區建國里,蘇高雪嬌,無
村里長,新北市新店區復興里,劉洪珠,中國國民黨
村里長,新北市新店區美城里,翁智冠,無
村里長,新北市新店區安昌里,范姜玉嬌,中國國民黨
村里長,新北市新店區長春里,李傳傑,中國國民黨
村里長,新北市新店區新和里,仇雅彤,中國國民黨
村里長,新北市新店區達觀里,金威,無
村里長,新北市新店區華城里,花秋賢,無
村里長,新北市樹林區三多里,吳謝秀琴,無
村里長,新北市樹林區三興里,王永村,無
村里長,新北市樹林區圳安里,許進旺,無
村里長,新北市樹林區潭底里,許萬來,無
村里長,新北市樹林區樹南里,邱垂章,無
村里長,新北市樹林區樹人里,邱世昌,無
村里長,新北市樹林區東陽里,林耿邦,無
村里長,新北市樹林區樂山里,廖文斌,無
村里長,新北市樹林區東園里,陳兩進,無
村里長,新北市樹林區西園里,陳振彥,無
村里長,新北市樹林區樹北里,林俊明,無
村里長,新北市樹林區圳福里,蘇益和,無
村里長,新北市樹林區樹興里,詹美齡,無
村里長,新北市樹林區金寮里,楊淑惠,無
村里長,新北市樹林區中山里,簡炎輝,無
村里長,新北市樹林區育英里,詹炳新,無
村里長,新北市樹林區中華里,張美珠,無
村里長,新北市樹林區太順里,蔣榮井,無
村里長,新北市樹林區圳民里,王墘,無
村里長,新北市樹林區三龍里,周淑甘,無
村里長,新北市鶯歌區西鶯里,蘇炳輝,無
村里長,新北市鶯歌區建德里,林真達,無
村里長,新北市鶯歌區永昌里,游武雄,無
村里長,新北市鶯歌區南靖里,吳金定,無
村里長,新北市鶯歌區尖山里,陳怡潔,無
村里長,新北市鶯歌區二甲里,林水土,無
村里長,新北市鶯歌區東湖里,呂阿添,中華統一促進黨
村里長,新北市鶯歌區鳳鳴里,陳芷柔,無
村里長,新北市鶯歌區鳳祥里,曾勝利,無
村里長,新北市三峽區三峽里,黃宗祥,無
村里長,新北市三峽區秀川里,李楷瑞,無
村里長,新北市三峽區八張里,謝麗玲,無
村里長,新北市三峽區弘道里,陳錦桐,無
村里長,新北市三峽區永舘里,蘇正國,無
村里長,新北市三峽區礁溪里,周志鴻,無
村里長,新北市三峽區鳶山里,周文美,中國國民黨
村里長,新北市三峽區嘉添里,李萬興,無
村里長,新北市三峽區添福里,陳秉源,無
村里長,新北市三峽區金圳里,邱金菊,無
村里長,新北市三峽區有木里,胡幸姍,無
村里長,新北市三峽區溪南里,蘇伯聰,無
村里長,新北市三峽區溪東里,陳錫遠,無
村里長,新北市三峽區竹崙里,張博勇,無
村里長,新北市三峽區介壽里,周梓亭,無
村里長,新北市三峽區中正里,陳志泉,無
村里長,新北市三峽區龍恩里,黃家賢,無
村里長,新北市淡水區中和里,王文輝,無
村里長,新北市淡水區賢孝里,葉振昌,無
村里長,新北市淡水區興仁里,盧仁澤,無
村里長,新北市淡水區義山里,葉水金,無
村里長,新北市淡水區埤島里,蔡正忠,無
村里長,新北市淡水區新興里,吳錦泉,無
